title
n = 15
P = 6
1 1 7
1 2 6
1 3 7
1 4 4
1 5 4
1 6 6
1 7 10
1 8 6
1 9 3
1 10 8
1 11 9
1 12 6
1 13 9
1 14 6
1 15 10
2 1 7
2 2 4
2 3 2
2 4 9
2 5 8
2 6 7
2 7 7
2 8 2
2 9 8
2 10 6
2 11 10
2 12 5
2 13 8
2 14 6
2 15 2
3 1 9
3 2 10
3 3 2
3 4 10
3 5 6
3 6 4
3 7 5
3 8 7
3 9 9
3 10 5
3 11 4
3 12 5
3 13 4
3 14 9
3 15 3
4 1 3
4 2 7
4 3 3
4 4 3
4 5 2
4 6 9
4 7 7
4 8 8
4 9 7
4 10 4
4 11 10
4 12 9
4 13 9
4 14 3
4 15 4
5 1 8
5 2 1
5 3 7
5 4 6
5 5 3
5 6 8
5 7 3
5 8 9
5 9 10
5 10 8
5 11 4
5 12 1
5 13 5
5 14 5
5 15 4
6 1 2
6 2 6
6 3 7
6 4 1
6 5 5
6 6 1
6 7 6
6 8 8
6 9 4
6 10 8
6 11 6
6 12 9
6 13 5
6 14 4
6 15 9
7 1 7
7 2 6
7 3 5
7 4 4
7 5 1
7 6 2
7 7 5
7 8 6
7 9 7
7 10 9
7 11 9
7 12 9
7 13 7
7 14 5
7 15 6
8 1 10
8 2 3
8 3 1
8 4 5
8 5 8
8 6 10
8 7 7
8 8 2
8 9 2
8 10 8
8 11 2
8 12 5
8 13 9
8 14 6
8 15 10
9 1 3
9 2 5
9 3 6
9 4 3
9 5 4
9 6 3
9 7 5
9 8 5
9 9 10
9 10 2
9 11 2
9 12 7
9 13 7
9 14 4
9 15 4
10 1 2
10 2 8
10 3 9
10 4 4
10 5 2
10 6 10
10 7 8
10 8 1
10 9 9
10 10 1
10 11 7
10 12 10
10 13 5
10 14 1
10 15 7
11 1 5
11 2 3
11 3 4
11 4 6
11 5 2
11 6 3
11 7 9
11 8 3
11 9 3
11 10 6
11 11 10
11 12 8
11 13 10
11 14 7
11 15 5
12 1 7
12 2 4
12 3 5
12 4 7
12 5 4
12 6 5
12 7 7
12 8 3
12 9 8
12 10 1
12 11 4
12 12 5
12 13 3
12 14 1
12 15 9
13 1 4
13 2 5
13 3 4
13 4 4
13 5 3
13 6 4
13 7 5
13 8 4
13 9 3
13 10 5
13 11 10
13 12 6
13 13 8
13 14 4
13 15 10
14 1 2
14 2 8
14 3 6
14 4 7
14 5 2
14 6 5
14 7 2
14 8 9
14 9 10
14 10 9
14 11 3
14 12 4
14 13 4
14 14 7
14 15 2
15 1 10
15 2 4
15 3 7
15 4 3
15 5 9
15 6 8
15 7 3
15 8 8
15 9 7
15 10 1
15 11 9
15 12 10
15 13 6
15 14 9
15 15 6
1 1 1 0.40314494572095505
1 1 2 0.22109726896796622
1 1 3 0.40729835952817106
1 1 4 0.18819164256862264
1 1 5 0.2029214159803161
1 1 6 0.13289825579937709
1 1 7 0.16496478483145693
1 1 8 0.21750591537726716
1 1 9 0.389319352553654
1 1 10 0.056254499910174505
1 1 11 0.3715175234978725
1 1 12 0.4007028050952063
1 1 13 0.07532568977378917
1 1 14 0.4753378302944795
1 1 15 0.22127737924877144
1 2 1 0.31630033526724566
1 2 2 0.14682127143956314
1 2 3 0.36601364606839737
1 2 4 0.20419551758767118
1 2 5 0.22633739708887102
1 2 6 0.04039568790109638
1 2 7 0.11677704559236579
1 2 8 0.23653145679016374
1 2 9 0.17798442815169424
1 2 10 0.4736415543655763
1 2 11 0.20301706664922592
1 2 12 0.047793929432928595
1 2 13 0.2300803822234354
1 2 14 0.3803348766760042
1 2 15 0.271170902913742
1 3 1 0.010435543993722707
1 3 2 0.36361782697930833
1 3 3 0.24219449500588963
1 3 5 0.04015298132634637
1 3 6 0.1806526480507623
1 3 8 0.2694734027118363
1 3 9 0.4753809226463753
1 3 10 0.3627872685339758
1 3 11 0.4896980567896013
1 3 12 0.3510000201219584
1 3 13 0.1812400861640484
1 3 14 0.24789388094598042
1 4 1 0.46464739805266053
1 4 2 0.4609353367202066
1 4 3 0.14579571669299307
1 4 4 0.3135097014822015
1 4 5 0.04878133715688293
1 4 6 0.29666883283250634
1 4 7 0.41057825403178505
