title
n = 20
P = 6
1 1 10
1 2 3
1 3 10
1 4 6
1 5 3
1 6 10
1 7 4
1 8 10
1 9 10
1 10 1
1 11 1
1 12 9
1 13 6
1 14 3
1 15 9
1 16 5
1 17 2
1 18 4
1 19 1
1 20 2
2 1 1
2 2 6
2 3 6
2 4 2
2 5 3
2 6 10
2 7 10
2 8 9
2 9 6
2 10 6
2 11 6
2 12 2
2 13 7
2 14 8
2 15 1
2 16 10
2 17 4
2 18 10
2 19 8
2 20 8
3 1 1
3 2 2
3 3 3
3 4 4
3 5 9
3 6 10
3 7 7
3 8 6
3 9 4
3 10 3
3 11 8
3 12 9
3 13 7
3 14 7
3 15 1
3 16 5
3 17 6
3 18 7
3 19 8
3 20 8
4 1 8
4 2 6
4 3 8
4 4 3
4 5 6
4 6 9
4 7 1
4 8 9
4 9 9
4 10 9
4 11 10
4 12 3
4 13 7
4 14 1
4 15 3
4 16 10
4 17 10
4 18 7
4 19 4
4 20 10
5 1 4
5 2 10
5 3 6
5 4 6
5 5 4
5 6 9
5 7 6
5 8 7
5 9 8
5 10 8
5 11 9
5 12 7
5 13 2
5 14 7
5 15 1
5 16 8
5 17 7
5 18 2
5 19 4
5 20 8
6 1 4
6 2 6
6 3 6
6 4 6
6 5 8
6 6 5
6 7 4
6 8 1
6 9 9
6 10 4
6 11 2
6 12 6
6 13 5
6 14 10
6 15 1
6 16 6
6 17 9
6 18 4
6 19 10
6 20 4
7 1 7
7 2 6
7 3 3
7 4 5
7 5 4
7 6 4
7 7 7
7 8 10
7 9 10
7 10 6
7 11 9
7 12 10
7 13 4
7 14 6
7 15 7
7 16 10
7 17 10
7 18 5
7 19 5
7 20 6
8 1 7
8 2 1
8 3 10
8 4 10
8 5 8
8 6 10
8 7 5
8 8 3
8 9 3
8 10 4
8 11 3
8 12 8
8 13 5
8 14 6
8 15 8
8 16 1
8 17 9
8 18 5
8 19 8
8 20 7
9 1 5
9 2 9
9 3 5
9 4 7
9 5 4
9 6 1
9 7 1
9 8 5
9 9 1
9 10 3
9 11 2
9 12 10
9 13 4
9 14 6
9 15 3
9 16 4
9 17 4
9 18 8
9 19 1
9 20 6
10 1 4
10 2 8
10 3 10
10 4 10
10 5 8
10 6 9
10 7 1
10 8 2
10 9 4
10 10 1
10 11 10
10 12 8
10 13 7
10 14 8
10 15 9
10 16 6
10 17 3
10 18 5
10 19 2
10 20 5
11 1 10
11 2 1
11 3 7
11 4 3
11 5 6
11 6 7
11 7 3
11 8 10
11 9 5
11 10 7
11 11 9
11 12 4
11 13 8
11 14 8
11 15 2
11 16 4
11 17 3
11 18 5
11 19 6
11 20 4
12 1 9
12 2 8
12 3 10
12 4 5
12 5 6
12 6 6
12 7 9
12 8 10
12 9 3
12 10 8
12 11 9
12 12 10
12 13 8
12 14 1
12 15 10
12 16 4
12 17 4
12 18 5
12 19 9
12 20 7
13 1 1
13 2 10
13 3 5
13 4 7
13 5 7
13 6 3
13 7 5
13 8 10
13 9 1
13 10 8
13 11 7
13 12 2
13 13 6
13 14 6
13 15 7
13 16 6
13 17 6
13 18 8
13 19 9
13 20 10
14 1 6
14 2 5
14 3 10
14 4 5
14 5 2
14 6 6
14 7 1
14 8 7
14 9 1
14 10 10
14 11 2
14 12 9
14 13 7
14 14 2
14 15 3
14 16 5
14 17 3
14 18 7
14 19 9
14 20 8
15 1 3
15 2 5
15 3 9
15 4 6
15 5 2
15 6 4
15 7 9
15 8 8
15 9 8
15 10 2
15 11 2
15 12 3
15 13 1
15 14 4
15 15 6
15 16 8
15 17 10
15 18 3
15 19 6
15 20 7
16 1 3
16 2 3
16 3 5
16 4 9
16 5 7
16 6 9
16 7 4
16 8 2
16 9 6
16 10 4
16 11 5
16 12 5
16 13 9
16 14 8
16 15 9
16 16 7
16 17 5
16 18 4
16 19 5
16 20 1
17 1 4
17 2 6
17 3 3
17 4 3
17 5 7
17 6 4
17 7 1
17 8 4
17 9 9
17 10 10
17 11 6
17 12 7
17 13 10
17 14 9
17 15 7
17 16 7
17 17 2
17 18 3
17 19 5
17 20 2
18 1 9
18 2 6
18 3 7
18 4 6
18 5 10
18 6 5
18 7 4
18 8 9
18 9 2
18 10 6
18 11 5
18 12 1
18 13 10
18 14 4
18 15 4
18 16 8
18 17 2
18 18 2
18 19 6
18 20 2
19 1 9
19 2 5
19 3 6
19 4 7
19 5 6
19 6 7
19 7 6
19 8 4
19 9 2
19 10 8
19 11 4
19 12 3
19 13 2
19 14 10
19 15 6
19 16 10
19 17 7
19 18 8
19 19 5
19 20 9
20 1 6
20 2 1
20 3 1
20 4 6
20 5 8
20 6 5
20 7 8
20 8 4
20 9 8
20 10 4
20 11 5
20 12 9
20 13 7
20 14 10
20 15 6
20 16 10
20 17 1
20 18 2
20 19 5
20 20 5
1 1 1 0.07237464934335203
1 1 2 0.23362752840323464
1 1 3 0.2723317431271951
1 1 4 0.34447136186530347
1 1 5 0.45239643859302026
1 1 6 0.08835823536239495
1 1 7 0.08518152557640868
1 1 8 0.05851235212046513
1 1 9 0.19897607644242943
1 1 10 0.325795338141463
1 1 11 0.19620440105255688
1 1 12 0.10000227625041502
1 1 13 0.01087071131300954
1 1 15 0.10966766623125535
1 1 16 0.049482110347704555
1 1 17 0.4039584423448257
1 1 18 0.1440589664424008
1 1 19 0.37888938199041944
1 1 20 0.40674190213633177
1 2 1 0.01376546892145658
1 2 2 0.06250687774013863
1 2 3 0.17765914897387813
1 2 4 0.3710094426166296
1 2 5 0.4245114671004573
1 2 6 0.17304758648489316
1 2 7 0.34245634852604623
1 2 9 0.13520041118012904
1 2 10 0.1824093813956813
1 2 11 0.12752037368280378
1 2 12 0.42063435630551815
1 2 15 0.376620213535789
1 2 16 0.2693685038834709
1 2 17 0.44993284421256063
1 2 18 0.23754276994516232
1 2 19 0.12304291707721116
1 2 20 0.24071014884152908
1 3 1 0.3516373796945155
1 3 2 0.4771183785823413
1 3 3 0.14418624922796186
1 3 4 0.13789905872268882
1 3 5 0.28048336740779567
1 3 6 0.20664059824342051
1 3 7 0.46751162409140823
1 3 8 0.08287478256098468
1 3 9 0.09116860303066898
1 3 10 0.016368639395759277
1 3 11 0.14026722046235107
1 3 12 0.4047437481902252
1 3 13 0.42475924975739165
1 3 15 0.39847266577330986
1 3 17 0.49027402261862096
1 3 18 0.2753399032478425
1 3 19 0.41022292588942466
1 3 20 0.35469047543227517
1 4 1 0.3577882994761542
1 4 2 0.08495883334352106
1 4 3 0.07802700617474245
1 4 4 0.057407592880252545
1 4 5 0.0555393080668678
1 4 6 0.2204673498300871
1 4 7 0.2077667573915548
1 4 8 0.037694959876803824
